-23.648 23.563 -15.594
-20.315 26.371 -15.123
24.319 22.345 -15.224
31.285 8.302 -17.241
32.819 9.554 -12.031
29.452 8.505 -19.157
31.852 10.704 -14.081
32.019 10.028 -14.014
32.085 9.554 -14.182
32.219 9.689 -14.014
32.252 9.656 -14.048
31.085 9.926 -16.165
28.219 9.622 -21.543
27.719 9.825 -21.678
29.952 9.791 -17.980
31.719 9.757 -14.821
31.752 9.859 -14.619
34.785 9.723 -7.325
35.785 9.385 0.977
35.819 8.979 3.162
35.785 8.877 2.994
35.519 9.114 5.280
35.519 8.843 6.019
35.619 8.911 6.053
35.552 8.877 6.120
35.885 8.979 2.725
32.152 9.859 -13.913
32.219 9.791 -14.149
32.152 9.757 -14.048
32.052 9.656 -14.619
32.052 9.791 -14.249
32.085 9.859 -14.216
32.119 9.825 -14.149
32.152 9.791 -14.149
32.152 9.825 -14.182
32.252 9.757 -14.081
32.119 9.859 -13.880
32.152 9.825 -14.216
31.985 11.787 -12.905
32.219 12.295 -12.602
32.185 13.310 -11.460
32.185 13.445 -10.989
32.052 13.547 -11.157
31.852 9.757 -14.686
32.052 9.723 -14.518
32.419 7.659 -14.989
32.452 4.749 -16.300
32.452 4.072 -16.266
32.485 3.429 -16.300
32.152 9.419 -14.854
32.252 9.317 -14.619
32.152 9.249 -15.023
32.185 9.216 -14.754
34.485 9.351 -13.476
34.485 10.095 -14.149
29.919 11.347 -21.308
-0.015 12.126 -36.602
-13.981 12.532 -34.216
-15.248 12.532 -33.711
-15.448 12.532 -33.678
-15.181 12.430 -33.947
-15.515 12.532 -33.644
-15.381 12.566 -33.644
-15.448 10.535 -34.653
-15.215 10.434 -34.619
-15.781 9.351 -34.955
-15.481 8.370 -35.157
-15.481 7.693 -35.325
-15.581 7.456 -35.627
-15.415 7.490 -35.560
-10.081 7.591 -37.039
34.485 10.231 -13.947
34.585 10.298 -13.745
34.485 10.468 -13.779
34.485 10.400 -14.081
34.619 10.265 -14.115
34.419 10.298 -14.081
34.552 10.366 -13.981
25.819 10.298 -26.518
10.019 10.637 -35.560
-7.248 10.671 -36.837
-16.448 10.704 -33.947
-15.448 10.637 -34.686
-15.181 10.806 -34.552
-15.148 10.738 -34.787
-15.481 10.704 -34.451
6.885 10.569 -36.367
34.552 10.163 -13.947
34.552 10.197 -13.846
27.819 9.283 25.851
16.619 9.249 34.456
17.352 9.419 34.321
34.319 11.043 -14.014
35.419 6.712 -4.502
32.252 9.351 -14.384
32.152 9.554 -14.350
33.085 9.520 -12.670
34.719 9.622 -8.165
35.519 9.351 -4.031
35.885 9.216 -0.233
35.919 9.249 -2.350
36.085 9.148 1.011
35.519 9.351 -3.964
35.619 9.419 -3.863
35.885 9.283 -2.216
35.519 9.419 7.028
35.819 8.843 5.246
35.719 9.182 4.944
35.985 9.317 -0.300
35.852 9.283 -1.611
35.852 9.317 -1.712
35.752 9.385 -1.577
35.852 9.419 -1.510
35.819 9.351 -1.880
35.952 9.317 -1.678
35.885 9.249 -1.645
35.919 9.283 -1.846
35.952 9.385 -1.544
35.852 9.283 -1.745
36.085 8.979 -2.014
36.052 9.013 -1.947
36.085 9.114 -1.745
36.052 9.114 -1.880
36.019 8.979 -1.846
36.052 9.114 -1.712
35.552 9.892 6.624
35.652 9.825 6.120
36.152 9.419 3.162
36.185 9.351 3.061
36.052 9.351 3.196
36.185 9.249 0.809
36.319 9.114 0.137
36.152 9.114 0.103
36.152 9.317 0.742
36.219 9.249 0.675
36.085 9.317 0.742
36.285 9.283 0.339
36.119 9.419 0.171
35.919 10.434 0.574
35.585 11.449 0.238
35.052 12.938 0.204
34.585 14.190 -0.098
34.052 15.679 -0.502
33.585 16.592 -0.703
33.019 17.573 -0.670
32.752 18.183 -0.804
32.319 18.927 -1.241
31.685 19.841 -1.241
31.085 20.822 -1.880
30.352 21.803 -1.880
29.685 22.683 -2.350
28.985 23.597 -2.485
28.452 24.206 -3.056
27.685 25.221 -3.392
26.885 25.864 -3.829
26.285 26.337 -3.863
25.585 27.082 -3.997
24.985 27.623 -4.502
23.785 28.435 -4.871
22.785 29.247 -5.611
21.419 30.059 -6.149
20.219 30.770 -6.955
19.119 31.413 -7.191
17.852 31.853 -7.897
16.152 32.394 -8.703
15.052 33.003 -9.039
13.485 33.477 -9.712
12.052 33.782 -10.216
10.485 34.052 -10.855
9.152 34.357 -11.359
7.852 34.289 -12.031
6.019 34.323 -12.703
3.785 34.154 -13.846
1.352 33.985 -14.989
-1.281 33.173 -16.502
-2.981 32.597 -17.174
-3.081 32.733 -16.737
-4.081 32.394 -17.207
-4.981 32.022 -17.611
-5.781 31.582 -17.947
-6.948 31.108 -18.384
-8.115 30.702 -18.888
-9.115 29.721 -19.762
-10.248 29.315 -19.796
-11.281 28.435 -20.401
-12.181 27.860 -20.569
-12.848 27.386 -20.938
-13.848 26.608 -21.207
-14.615 25.864 -21.611
-15.315 25.356 -21.779
-16.248 24.341 -22.249
-16.948 23.360 -22.686
-18.048 22.277 -22.955
-18.981 21.093 -23.123
-20.148 19.638 -23.459
-21.015 17.980 -23.997
-21.781 16.558 -24.266
-22.648 15.002 -24.770
-23.215 13.614 -24.770
-23.315 12.633 -25.140
-23.915 11.652 -25.039
-24.415 10.772 -25.140
-24.515 9.926 -25.174
-24.615 9.046 -25.375
-25.115 7.727 -25.577
-25.581 6.103 -25.510
-25.681 5.290 -25.644
-25.815 4.005 -25.880
-25.981 3.328 -25.611
-26.015 2.279 -25.812
-26.248 2.177 -25.644
-26.048 1.196 -25.812
