28.267 -37.167 -48.567
28.233 -37.300 -48.267
28.233 -37.200 -48.567
28.200 -37.200 -48.400
28.267 -37.133 -48.500
28.233 -37.167 -48.600
28.233 -37.200 -48.433
28.200 -37.267 -48.167
28.300 -37.267 -48.200
28.267 -37.267 -48.300
28.200 -37.233 -48.500
28.233 -37.167 -48.533
28.267 -37.200 -48.533
28.300 -37.200 -48.400
28.300 -37.267 -48.267
28.200 -37.267 -48.333
28.267 -37.233 -48.533
28.300 -37.233 -48.433
28.333 -37.267 -48.200
28.233 -37.400 -48.200
28.200 -37.333 -48.433
28.167 -37.200 -48.500
28.267 -37.200 -48.567
28.300 -37.267 -48.433
28.267 -37.067 -48.433
28.200 -37.200 -48.200
28.167 -37.300 -48.367
28.167 -37.200 -48.600
28.233 -37.200 -48.567
28.167 -37.300 -48.333
28.300 -37.267 -48.400
28.267 -37.367 -48.167
28.267 -37.333 -48.300
28.167 -37.367 -48.433
28.200 -37.233 -48.467
28.267 -37.200 -48.533
28.300 -37.233 -48.400
28.267 -37.333 -48.300
28.233 -37.300 -48.200
28.200 -37.333 -48.367
28.233 -37.133 -48.500
28.167 -37.200 -48.567
28.233 -37.200 -48.633
28.200 -37.167 -48.600
28.233 -37.333 -48.267
28.167 -37.267 -48.333
28.167 -37.200 -48.600
28.200 -37.133 -48.700
28.300 -37.333 -48.267
28.300 -37.200 -48.333
28.200 -37.333 -48.200
28.300 -37.367 -48.233
28.200 -37.300 -48.400
28.200 -37.233 -48.567
28.233 -37.200 -48.567
28.333 -37.133 -48.467
28.367 -37.300 -48.167
28.333 -37.233 -48.200
28.200 -37.200 -48.367
28.233 -37.367 -48.300
28.167 -37.200 -48.433
28.267 -37.133 -48.500
28.200 -37.200 -48.600
28.233 -37.200 -48.367
28.333 -37.233 -48.233
28.300 -37.233 -48.333
28.167 -37.233 -48.333
28.167 -37.233 -48.533
28.233 -37.133 -48.567
28.267 -37.267 -48.433
28.167 -37.200 -48.333
28.200 -37.367 -48.167
28.167 -37.300 -48.333
28.233 -37.067 -48.567
28.233 -37.100 -48.700
28.267 -37.133 -48.567
28.333 -37.200 -48.300
28.300 -37.300 -48.300
28.167 -37.200 -48.233
28.200 -37.267 -48.267
28.267 -37.167 -48.633
28.267 -37.133 -48.567
28.267 -37.200 -48.467
28.267 -37.333 -48.233
28.300 -37.233 -48.567
28.267 -37.333 -48.233
28.133 -37.200 -48.467
28.167 -37.167 -48.533
28.200 -37.200 -48.500
28.267 -37.333 -48.267
28.233 -37.333 -48.267
